,Name,Address,Metro,Rating,Money
128,Friends & Family,"Ленинская Слобода, 26",Автозаводская,8.5,2
129,Кимчи,"Бутырский Вал, 5, БЦ «Ямская-центр», 1 этаж",Белорусская,8.5,2
130,Andiamo,"Строителей, 4, стр. 2",Университет,8.5,3
131,Adri BBQ Wine,"Лесная, 7, БЦ «Белые сады»",Белорусская,8.5,3
132,Mushrooms,"Б.Якиманка, 22, ТЦ «Гименей», 2 этаж",Полянка,8.5,3
133,The Tipsy Pub,"Сущевская, 9","Новослободская, Менделеевская",8.4,2
134,Rumor Bar,"Покровка, 21–23/25, стр. 1","Чистые пруды, Тургеневская, Сретенский бульвар",8.4,2
135,Fruits & Veges,"Ниж.Сыромятническая, 10, стр. 12, центр дизайна Artplay","Курская, Чкаловская",8.4,1
136,Rico,"Ружейный пер., 6, стр. 1",Смоленская,8.4,3
137,Correa's,"Б.Ордынка, 40, стр. 2","Новокузнецкая, Третьяковская, Полянка",8.4,2
138,Турандот,"Тверской б-р, 26, стр. 3","Тверская, Пушкинская, Чеховская",8.4,4
139,Человек и пароход,"Мытная, 74, фуд-корт Даниловского рынка",Тульская,8.4,1
140,BBcafé,"Скатертный пер., 13",Арбатская,8.4,2
141,Powerhouse,"Гончарная, 7/4","Таганская, Марксистская",8.4,2
142,Ароматная река,"наб. Академика Туполева, 15, стр. 2",Бауманская,8.4,2
143,Moments,"Татарская, 7",Павелецкая,8.4,2
144,BB & Burgers,"56-й км МКАД, ТРЦ «Vegas Кунцево»","Молодежная, Кунцевская",,1
145,BB & Burgers,"М.Дмитровка, 4","Тверская, Пушкинская, Чеховская",,1
146,BB & Burgers,"Мясницкая, 18","Лубянка, Кузнецкий Мост",,1
147,BB & Burgers,"Ходынский б-р, 4, ТРЦ «Авиапарк», 3 этаж","Аэропорт, Динамо, Полежаевская, Хорошево, Хорошевская, Петровский парк",,1
148,BB & Burgers,"1-я Тверская-Ямская, 4",Маяковская,,1
149,BBC,"Б.Новодмитровская, 12, стр. 16",Савеловская,,2
150,BBFan 24,"Мясницкая, 24/7, стр. 1","Чистые пруды, Тургеневская, Сретенский бульвар",,2
151,BB Grill,"Автозаводская, 18, ТРЦ «Ривьера»",,,3
152,BBQ Land,"66-й км МКАД, пересечение с Волоколамским ш., ТРЦ «Vegas Крокус-сити», 3 этаж",Мякинино,,1
153,Bear Burgers,"Преображенская пл., 12",Преображенская площадь,,1
154,Beasty Burgers,"Паромная, 11/31",Алма-Атинская,,1
155,Beaumonde Lounge,"Никольская, 25, ТЦ «Наутилус»","Лубянка, Кузнецкий Мост",,3
