,Name,Address,Metro,Rating,Money,lat,lng,District
159,Beefhouse,"Бутырский Вал, 5",Белорусская,,3.0,55.778558,37.584568,Тверской
160,Beef Time,"просп. Мира, 102, стр. 1а",Алексеевская,,3.0,55.800205,37.636653,Алексеевский
161,Beef Рояль,"Пречистенская наб., 13, стр. 1","Кропоткинская, Парк культуры",,4.0,55.738029,37.603963,Хамовники
162,Beer Bar 37,"Крылатские Холмы, 37",Крылатское,,,55.760302,37.419197,Крылатское
163,Beerburgerpub,"Ленинский просп., 70/11","Университет, Академическая",,1.0,55.687406,37.543264,Гагаринский
164,Beerburgerpub,"1-я ул. Бухвостова, 12/11, корп. 53",Преображенская площадь,,1.0,55.796997,37.713683,Преображенское
165,Beer Gik,"Мясницкая, 22/2, стр. 1","Чистые пруды, Тургеневская",,,55.762171,37.634748,Басманный
166,Beer & Go,"Новослободская, 52","Новослободская, Савеловская, Менделеевская",,2.0,55.78769,37.593785,Тверской
167,Beer & Go,"Коштоянца, 20, корп. 1","Проспект Вернадского, Юго-Западная",,2.0,55.674352,37.477777,Тропарёво-Никулино
168,Coin Hall,"Пятницкая, 71/5, стр. 2","Добрынинская, Серпуховская",,,55.731445,37.627544,Замоскворечье
169,Донна Маргарита,"ул. 1905 года, 2, стр. 1",Улица 1905 года,8.4,3.0,55.755353,37.560071,Пресненский
170,Mr. Ливанец,"Глинищевский пер., 3","Тверская, Пушкинская, Чеховская",8.4,2.0,55.763265,37.609775,Тверской
171,Бутчер,"Цветной б-р, 2, БЦ «Легенда Цветного»","Цветной бульвар, Трубная",8.4,4.0,55.768025,37.623483,Мещанский
172,Кондитерская «Пушкин»,"Тверской б-р, 26а","Тверская, Пушкинская, Чеховская",8.4,2.0,55.7637,37.605032,Тверской
173,Рецептор,"Б.Козихинский пер., 10","Маяковская, Тверская, Пушкинская, Чеховская",8.4,2.0,55.762885,37.59736,Пресненский
174,Cutfish,"Б.Козихинский пер., 17","Тверская, Пушкинская, Чеховская",8.4,3.0,55.763949,37.595393,Пресненский
175,Марукамэ,"Пятницкая, 29/8","Новокузнецкая, Третьяковская",8.4,1.0,55.740943,37.628756,Замоскворечье
176,Hong Kong,"Русаковская, 24, гостиница Holiday Inn Moscow Sokolniki, 24 этажи",Сокольники,8.4,2.0,,,
177,Casa di famiglia,"Металлургов, 7/18",Перово,8.4,2.0,55.757354,37.780123,Перово
178,Вай мэ!,"Пятницкий пер., 8, стр. 1","Новокузнецкая, Третьяковская",8.4,1.0,55.742879,37.629745,Замоскворечье
179,Чайка,"Краснопресненская наб., напротив дома 12",Выставочная,8.4,3.0,55.495654,54.868352,
180,Ботаника,"Б.Грузинская, 61а","Белорусская, Маяковская",8.4,2.0,55.772183,37.584335,Пресненский
181,Грабли,"Тверская, 18, корп. 1","Тверская, Пушкинская, Чеховская",8.4,1.0,55.766147,37.604241,Тверской
182,Magnum Wine Bar,"Лесная, 5б, БЦ «Белая площадь»",Белорусская,8.3,3.0,55.778274,37.586859,Тверской
183,Хачапури,"Украинский б-р, 7",Киевская,8.3,2.0,55.747774,37.566925,Дорогомилово
184,Bar BQ Café на Пятницкой,"Пятницкая, 25, стр. 1д","Новокузнецкая, Третьяковская",8.3,2.0,55.741521,37.62881,Замоскворечье
185,Laffa Laffa,"М.Бронная, 4","Тверская, Пушкинская, Чеховская",8.3,2.0,55.759552,37.597477,Пресненский
186,Дружба,"Панкратьевский пер., 2",Сухаревская,8.3,1.0,55.771666,37.633185,Красносельский
187,Selfie,"Новинский б-р, 31, ТДЦ «Новинский», 2 этаж","Краснопресненская, Баррикадная",8.3,3.0,55.75783,37.582511,Пресненский
188,Волконский,"Б.Садовая, 2/46",Маяковская,8.3,2.0,51.993055,42.247274,
189,Апрель,"Б.Спасская, 29","Комсомольская, Проспект Мира, Сухаревская",8.3,2.0,55.77637,37.643677,Красносельский
